# SynthV/synth3 synthetic spectrum, Teff = 5215 K, log g = 3.55, normalized; decimated by 2 to 0.013 A/px (0.6 km/s at 6000 A, still oversampling the 1 km/s TODCOR grid)
# cut from 5215K_logg355.prf over 5650-6850 A, every 2th point
# wavelength [Angstrom, air]  normalized flux
5663.0155  0.909679
5663.0268  0.962131
5663.0381  0.984595
5663.0495  0.992845
5663.0608  0.995888
5663.0721  0.996921
5663.0834  0.997513
5663.0948  0.997862
5663.1061  0.998112
5663.1174  0.998302
5663.1287  0.998459
5663.1401  0.998610
5663.1514  0.998739
5663.1627  0.998816
5663.1740  0.998892
5663.1854  0.998978
5663.1967  0.999067
5663.2080  0.999156
5663.2194  0.999245
5663.2307  0.999334
5663.2420  0.999378
5663.2533  0.999399
5663.2647  0.999420
5663.2760  0.999441
5663.2873  0.999462
5663.2986  0.999337
5663.3100  0.999103
5663.3213  0.998869
5663.3326  0.998635
5663.3439  0.998401
5663.3553  0.997882
5663.3666  0.997068
5663.3779  0.996253
5663.3893  0.995439
5663.4006  0.994625
5663.4119  0.994155
5663.4232  0.994188
5663.4346  0.994240
5663.4459  0.994299
5663.4572  0.994126
5663.4685  0.993957
5663.4799  0.993803
5663.4912  0.993888
5663.5025  0.994598
5663.5138  0.995507
5663.5252  0.996533
5663.5365  0.997573
5663.5478  0.998375
5663.5592  0.998910
5663.5705  0.999240
5663.5818  0.999571
5663.5931  0.999675
5663.6045  0.999729
5663.6158  0.999780
5663.6271  0.999794
5663.6384  0.999808
5663.6498  0.999823
5663.6611  0.999837
5663.6724  0.999852
5663.6838  0.999815
5663.6951  0.999750
5663.7064  0.999684
5663.7177  0.999619
5663.7291  0.999554
5663.7404  0.999496
5663.7517  0.999468
5663.7630  0.999440
5663.7744  0.999412
5663.7857  0.999384
